Story_ID,Story_Text,Question,Answer,Context,Category,Age group
4,في مدينة كبيرة، كان هناك قبطان سفينة شجاع يدعى فهد. كان فهد يقود سفينته في البحر العاصف، وقرر أن ينقذ سفينة أخرى غرقت. مع شجاعة وبراعة، بدأ فهد في سحب السفينة الغارقة باستخدام حبال قوية. واجه القبطان تحديات صعبة، ولكن مع التعاون والمثابرة، تم إنقاذ الجميع. أصبح فهد بطلًا في المدينة وسُجّلت قصته في التاريخ.,من هو بطل القصة؟,فهد,في مدينة كبيرة، كان هناك قبطان سفينة شجاع يدعى فهد.,Characters,Age 5–8
4,في مدينة كبيرة، كان هناك قبطان سفينة شجاع يدعى فهد. كان فهد يقود سفينته في البحر العاصف، وقرر أن ينقذ سفينة أخرى غرقت. مع شجاعة وبراعة، بدأ فهد في سحب السفينة الغارقة باستخدام حبال قوية. واجه القبطان تحديات صعبة، ولكن مع التعاون والمثابرة، تم إنقاذ الجميع. أصبح فهد بطلًا في المدينة وسُجّلت قصته في التاريخ.,كيف أنقذ فهد السفينة الغارقة؟,استخدم حبال قوية لسحب السفينة الغارقة.,بدأ فهد في سحب السفينة الغارقة باستخدام حبال قوية.,Plot,Age 5–8
4,في مدينة كبيرة، كان هناك قبطان سفينة شجاع يدعى فهد. كان فهد يقود سفينته في البحر العاصف، وقرر أن ينقذ سفينة أخرى غرقت. مع شجاعة وبراعة، بدأ فهد في سحب السفينة الغارقة باستخدام حبال قوية. واجه القبطان تحديات صعبة، ولكن مع التعاون والمثابرة، تم إنقاذ الجميع. أصبح فهد بطلًا في المدينة وسُجّلت قصته في التاريخ.,لماذا قرر فهد إنقاذ السفينة الغارقة؟,لينقذ الأرواح ويُظهر شجاعته.,قرر أن ينقذ سفينة أخرى غرقت.,Reasoning,Age 5–8
4,في مدينة كبيرة، كان هناك قبطان سفينة شجاع يدعى فهد. كان فهد يقود سفينته في البحر العاصف، وقرر أن ينقذ سفينة أخرى غرقت. مع شجاعة وبراعة، بدأ فهد في سحب السفينة الغارقة باستخدام حبال قوية. واجه القبطان تحديات صعبة، ولكن مع التعاون والمثابرة، تم إنقاذ الجميع. أصبح فهد بطلًا في المدينة وسُجّلت قصته في التاريخ.,كيف أصبح فهد بطلًا؟,بعد أن أنقذ السفينة الغارقة وأظهر شجاعته.,أصبح فهد بطلًا في المدينة وسُجّلت قصته في التاريخ.,Themes,Age 5–8
4,في مدينة كبيرة، كان هناك قبطان سفينة شجاع يدعى فهد. كان فهد يقود سفينته في البحر العاصف، وقرر أن ينقذ سفينة أخرى غرقت. مع شجاعة وبراعة، بدأ فهد في سحب السفينة الغارقة باستخدام حبال قوية. واجه القبطان تحديات صعبة، ولكن مع التعاون والمثابرة، تم إنقاذ الجميع. أصبح فهد بطلًا في المدينة وسُجّلت قصته في التاريخ.,ما هي الأداة التي استخدمها فهد لإنقاذ السفينة؟,الحبال القوية.,استخدم حبال قوية لسحب السفينة الغارقة.,Plot,Age 5–8
5,في غابة كثيفة، عاشت بومة حكيمة تدعى صفاء. كانت صفاء معروفة بحكمتها وقدرتها على حل المشكلات. في أحد الأيام، جاءت إليها مجموعة من الحيوانات تشكو من نقص المياه في الغابة. قررت صفاء مساعدتهم. طارت عالياً لتستكشف المنطقة ووجدت نهرًا بعيدًا. قادت الحيوانات إلى النهر، وعلمتهم كيفية بناء قناة صغيرة لتوصيل المياه إلى الغابة. ومنذ ذلك اليوم، أصبحت صفاء رمزًا للحكمة والتعاون في الغابة.,من هي البومة الحكيمة في القصة؟,صفاء,في غابة كثيفة، عاشت بومة حكيمة تدعى صفاء.,Characters,Age 5–8
5,في غابة كثيفة، عاشت بومة حكيمة تدعى صفاء. كانت صفاء معروفة بحكمتها وقدرتها على حل المشكلات. في أحد الأيام، جاءت إليها مجموعة من الحيوانات تشكو من نقص المياه في الغابة. قررت صفاء مساعدتهم. طارت عالياً لتستكشف المنطقة ووجدت نهرًا بعيدًا. قادت الحيوانات إلى النهر، وعلمتهم كيفية بناء قناة صغيرة لتوصيل المياه إلى الغابة. ومنذ ذلك اليوم، أصبحت صفاء رمزًا للحكمة والتعاون في الغابة.,ما هي المشكلة التي واجهتها الحيوانات؟,نقص المياه في الغابة.,جاءت إليها مجموعة من الحيوانات تشكو من نقص المياه في الغابة.,Plot,Age 5–8
5,في غابة كثيفة، عاشت بومة حكيمة تدعى صفاء. كانت صفاء معروفة بحكمتها وقدرتها على حل المشكلات. في أحد الأيام، جاءت إليها مجموعة من الحيوانات تشكو من نقص المياه في الغابة. قررت صفاء مساعدتهم. طارت عالياً لتستكشف المنطقة ووجدت نهرًا بعيدًا. قادت الحيوانات إلى النهر، وعلمتهم كيفية بناء قناة صغيرة لتوصيل المياه إلى الغابة. ومنذ ذلك اليوم، أصبحت صفاء رمزًا للحكمة والتعاون في الغابة.,كيف ساعدت صفاء الحيوانات؟,بإيجاد نهر بعيد وتعليمهم بناء قناة.,طارت عالياً لتستكشف المنطقة ووجدت نهرًا بعيدًا.,Themes,Age 5–8
5,في غابة كثيفة، عاشت بومة حكيمة تدعى صفاء. كانت صفاء معروفة بحكمتها وقدرتها على حل المشكلات. في أحد الأيام، جاءت إليها مجموعة من الحيوانات تشكو من نقص المياه في الغابة. قررت صفاء مساعدتهم. طارت عالياً لتستكشف المنطقة ووجدت نهرًا بعيدًا. قادت الحيوانات إلى النهر، وعلمتهم كيفية بناء قناة صغيرة لتوصيل المياه إلى الغابة. ومنذ ذلك اليوم، أصبحت صفاء رمزًا للحكمة والتعاون في الغابة.,ما هو الدرس الذي نتعلمه من القصة؟,أهمية الحكمة والتعاون في حل المشكلات.,أصبحت صفاء رمزًا للحكمة والتعاون في الغابة.,Reasoning,Age 5–8
5,في غابة كثيفة، عاشت بومة حكيمة تدعى صفاء. كانت صفاء معروفة بحكمتها وقدرتها على حل المشكلات. في أحد الأيام، جاءت إليها مجموعة من الحيوانات تشكو من نقص المياه في الغابة. قررت صفاء مساعدتهم. طارت عالياً لتستكشف المنطقة ووجدت نهرًا بعيدًا. قادت الحيوانات إلى النهر، وعلمتهم كيفية بناء قناة صغيرة لتوصيل المياه إلى الغابة. ومنذ ذلك اليوم، أصبحت صفاء رمزًا للحكمة والتعاون في الغابة.,ما الذي وجدته صفاء أثناء استكشافها؟,نهرًا بعيدًا.,طارت عالياً لتستكشف المنطقة ووجدت نهرًا بعيدًا.,Plot,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,من هي النجمة الصغيرة في القصة؟,نيرة,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة.,Characters,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,لماذا شعرت نيرة بالوحدة؟,لأنها كانت بعيدة عن النجوم الأخرى.,شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى.,Plot,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,من هي صديقة نيرة الجديدة؟,ياسمين الفراشة.,هناك، التقت بفراشة تدعى ياسمين.,Themes,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,ما الذي جعل نيرة تبقى في الحديقة؟,صداقتها مع ياسمين.,قررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين.,Reasoning,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,ما هو دور نيرة في الحديقة؟,تضيء الليالي.,قررت نيرة البقاء في الحديقة لتضيء الليالي.,Plot,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,ماذا فعلت نيرة عندما شعرت بالوحدة؟,قررت أن تبحث عن أصدقاء.,في أحد الأيام، قررت أن تبحث عن أصدقاء.,Plot,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,كيف ساعدت نيرة ياسمين؟,أضاءت الليالي في الحديقة.,قررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين.,Reasoning,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,ماذا حدث عندما التقت نيرة بياسمين؟,أصبحت ياسمين ونيرة صديقتين مقربتين.,هناك، التقت بفراشة تدعى ياسمين.,Themes,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,كيف ساعدت ياسمين نيرة؟,أصبحت صديقة مقربة لها.,أصبحت ياسمين ونيرة صديقتين مقربتين.,Reasoning,Age 5–8
6,في سماء الليل الصافية، كانت هناك نجمة صغيرة تدعى نيرة. شعرت نيرة بالوحدة لأنها كانت بعيدة عن النجوم الأخرى. في أحد الأيام، قررت أن تبحث عن أصدقاء. سقطت نيرة من السماء وهبطت في حديقة صغيرة. هناك، التقت بفراشة تدعى ياسمين. أصبحت ياسمين ونيرة صديقتين مقربتين، وقررت نيرة البقاء في الحديقة لتضيء الليالي مع ياسمين. ومنذ ذلك اليوم، أصبحت نيرة نجمة الحديقة.,ماذا كانت نية نيرة عندما قررت البحث عن أصدقاء؟,أن تجد صديقة تكون قريبة منها.,قررت أن تبحث عن أصدقاء.,Plot,Age 5–8
7,في أحد الأيام، قرر سامي أن يذهب في مغامرة لاستكشاف الغابة القريبة من قريته. كانت الغابة مليئة بالأشجار العالية والزهور الملونة، وكان يبدو أن هناك العديد من الأماكن التي يمكن اكتشافها. بدأ سامي السير في الطريق الملتوي بين الأشجار، وعثر على نهر صغير يعبر الغابة. قرر أن يتبعه ليكتشف أين ينتهي. في طريقه، اكتشف مجموعة من الطيور الغريبة التي كانت تغني أغاني جميلة. وصل في النهاية إلى شلال مدهش يقع في عمق الغابة، حيث كان الماء يتساقط من ارتفاع عالٍ. شعر سامي بالسعادة لأن مغامرته قادته إلى هذا المكان الرائع، وقرر أن يعود إلى قريته ليشارك الجميع ما اكتشفه.,ماذا قرر سامي أن يفعل في البداية؟,أن يذهب في مغامرة لاستكشاف الغابة.,في أحد الأيام، قرر سامي أن يذهب في مغامرة لاستكشاف الغابة.,Plot,Age 9–12
7,في أحد الأيام، قرر سامي أن يذهب في مغامرة لاستكشاف الغابة القريبة من قريته. كانت الغابة مليئة بالأشجار العالية والزهور الملونة، وكان يبدو أن هناك العديد من الأماكن التي يمكن اكتشافها. بدأ سامي السير في الطريق الملتوي بين الأشجار، وعثر على نهر صغير يعبر الغابة. قرر أن يتبعه ليكتشف أين ينتهي. في طريقه، اكتشف مجموعة من الطيور الغريبة التي كانت تغني أغاني جميلة. وصل في النهاية إلى شلال مدهش يقع في عمق الغابة، حيث كان الماء يتساقط من ارتفاع عالٍ. شعر سامي بالسعادة لأن مغامرته قادته إلى هذا المكان الرائع، وقرر أن يعود إلى قريته ليشارك الجميع ما اكتشفه.,ما هو الكائن الذي اكتشفه سامي في طريقه؟,مجموعة من الطيور الغريبة.,في طريقه، اكتشف مجموعة من الطيور الغريبة.,Plot,Age 9–12
7,في أحد الأيام، قرر سامي أن يذهب في مغامرة لاستكشاف الغابة القريبة من قريته. كانت الغابة مليئة بالأشجار العالية والزهور الملونة، وكان يبدو أن هناك العديد من الأماكن التي يمكن اكتشافها. بدأ سامي السير في الطريق الملتوي بين الأشجار، وعثر على نهر صغير يعبر الغابة. قرر أن يتبعه ليكتشف أين ينتهي. في طريقه، اكتشف مجموعة من الطيور الغريبة التي كانت تغني أغاني جميلة. وصل في النهاية إلى شلال مدهش يقع في عمق الغابة، حيث كان الماء يتساقط من ارتفاع عالٍ. شعر سامي بالسعادة لأن مغامرته قادته إلى هذا المكان الرائع، وقرر أن يعود إلى قريته ليشارك الجميع ما اكتشفه.,كيف كانت الغابة التي مر بها سامي؟,مليئة بالأشجار العالية والزهور الملونة.,كانت الغابة مليئة بالأشجار العالية والزهور الملونة.,Setting,Age 9–12
7,في أحد الأيام، قرر سامي أن يذهب في مغامرة لاستكشاف الغابة القريبة من قريته. كانت الغابة مليئة بالأشجار العالية والزهور الملونة، وكان يبدو أن هناك العديد من الأماكن التي يمكن اكتشافها. بدأ سامي السير في الطريق الملتوي بين الأشجار، وعثر على نهر صغير يعبر الغابة. قرر أن يتبعه ليكتشف أين ينتهي. في طريقه، اكتشف مجموعة من الطيور الغريبة التي كانت تغني أغاني جميلة. وصل في النهاية إلى شلال مدهش يقع في عمق الغابة، حيث كان الماء يتساقط من ارتفاع عالٍ. شعر سامي بالسعادة لأن مغامرته قادته إلى هذا المكان الرائع، وقرر أن يعود إلى قريته ليشارك الجميع ما اكتشفه.,ما هو شعور سامي عندما وصل إلى الشلال؟,شعر بالسعادة.,شعر سامي بالسعادة لأن مغامرته قادته إلى هذا المكان الرائع.,Reasoning,Age 9–12
7,في أحد الأيام، قرر سامي أن يذهب في مغامرة لاستكشاف الغابة القريبة من قريته. كانت الغابة مليئة بالأشجار العالية والزهور الملونة، وكان يبدو أن هناك العديد من الأماكن التي يمكن اكتشافها. بدأ سامي السير في الطريق الملتوي بين الأشجار، وعثر على نهر صغير يعبر الغابة. قرر أن يتبعه ليكتشف أين ينتهي. في طريقه، اكتشف مجموعة من الطيور الغريبة التي كانت تغني أغاني جميلة. وصل في النهاية إلى شلال مدهش يقع في عمق الغابة، حيث كان الماء يتساقط من ارتفاع عالٍ. شعر سامي بالسعادة لأن مغامرته قادته إلى هذا المكان الرائع، وقرر أن يعود إلى قريته ليشارك الجميع ما اكتشفه.,لماذا قرر سامي العودة إلى قريته؟,ليشارك الجميع ما اكتشفه.,قرر أن يعود إلى قريته ليشارك الجميع ما اكتشفه.,Reasoning,Age 9–12
7,في أحد الأيام، قرر سامي أن يذهب في مغامرة لاستكشاف الغابة القريبة من قريته. كانت الغابة مليئة بالأشجار العالية والزهور الملونة، وكان يبدو أن هناك العديد من الأماكن التي يمكن اكتشافها. بدأ سامي السير في الطريق الملتوي بين الأشجار، وعثر على نهر صغير يعبر الغابة. قرر أن يتبعه ليكتشف أين ينتهي. في طريقه، اكتشف مجموعة من الطيور الغريبة التي كانت تغني أغاني جميلة. وصل في النهاية إلى شلال مدهش يقع في عمق الغابة، حيث كان الماء يتساقط من ارتفاع عالٍ. شعر سامي بالسعادة لأن مغامرته قادته إلى هذا المكان الرائع، وقرر أن يعود إلى قريته ليشارك الجميع ما اكتشفه.,ما هي المغامرة التي قرر سامي خوضها؟,استكشاف الغابة القريبة من قريته.,في أحد الأيام، قرر سامي أن يذهب في مغامرة لاستكشاف الغابة القريبة من قريته.,Plot,Age 9–12
