Question,Reply
جمع أحد المسارح 6 دولارات مقابل كل تذكرة تباع لحضور أحد الأفلام. باع المسرح 500 تذكرة للفيلم. يمكن استخدام التعبير الرياضي الآتي لمعرفة مقدار الأموال التي جمعها المسرح ثمنًا للتذاكر. 6 × 500 ما هو التعبير الرياضي الآخر الذي يمكن استخدامه لمعرفة مقدار الأموال التي جمعها المسرح ثمنًا للتذاكر؟,(6 × 5) × 10^2
إذا كانت 12-9+ج=12. ما هي قيمة “ج” التي تجعل المعادلة صحيحة؟,9.0
ذهبت عائلة سوجورن في إجازة. كان معهم في البداية مبلغ 2000 دولار. إذا أنفقوا 150 دولارًا كل يوم، فما التعبير الرياضي الذي يمثل مقدار المال المتبقي بعد مرور “س” من الأيام؟,2000 −150س
رف عليه أربعة كتب. كان وزن كل كتاب من الكتب الأربعة الموجودة على الرف، بالرطل، هو 2.5، 3.2، 2.7، 2.3 ما المتباينة التي تمثل الوزن، “و”، لأي كتاب نختاره من الرف؟,و < 3.3
ما هو الرقم الذي له قيمة مطلقة أكبر من 5؟,-6.0
ما هي قيمة التعبير الرياضي 2(3(4^2 + 1)) - 2^3؟,94.0
كتب جوين نمط الأعداد التالي على ورقة. 1، 5، 9، 13 فما هما العددان التاليان في نمط جوين؟,17، 21
إذا كان سعر 3 علب من الكمثرى 2.37 دولار، كم عدد علب الكمثرى التي يمكنك شراؤها بمبلغ 9.48 دولارات؟,12 علبة
رتب من الأكبر إلى الأصغر: 3، 3 و1 على 8، 3.8، 3.18.,3.8، 3.18، 3 و1 على 8، 3
احسب 22 / 2 + 9.,20.0
"يبلغ عدد سكان إحدى المدن 836,527 نسمة. ما عدد سكان هذه المدينة مقرَّبًا لأقرب عشرة آلاف؟","840,000"
أوجد حاصل ضرب 5 • (−9).,−45
قضت كيكو اليوم في مراقبة الطيور وكان عدد الطيور التي أحصتها في الصباح يزيد عن عدد الطيور التي أحصتها بعد الظهيرة بـ 34 طائرًا. إذا كان مجموع ما أحصته 76 طائرًا، فكم عدد الطيور التي أحصتها في فترة ما بعد الظهيرة؟,21 طائرًا
ما قيمة 5 + 2 • 15 + (12 • 4)؟,83.0
ما الحالة التي يمكن تمثيلها بالكسر 20/8؟,تقاسم أحفاد السيد كرامر الثمانية 20 قطعة من البسكويت بالتساوي. كم عدد قطع البسكويت التي حصل عليها كل حفيد؟
إذا سار قطار بضائع بسرعة 20 ميلاً في الساعة لمدة 6 ساعات، ما هي المسافة التي سيقطعها؟,120 ميلاً
ما هي الخطوة التي تشرح كيفية إيجاد قيمة “أ” في 6أ = 72؟,قسمة الطرفين على 6
يمتلك المدرب وو ما مجموعه 30 كرة قدم منها 9 كرات بيضاء اللون. وكرات القدم المتبقية بثلاثة ألوان مختلفة (الأزرق أو الوردي أو الأخضر). هناك عدد متساوٍ من الكرات الزرقاء والوردية والخضراء، كم عدد كرات القدم الخضراء التي يمتلكها المدرب وو؟,7.0
انخفضت درجات الحرارة 11 درجة فهرنهايت بين الساعة 6 مساءً و10 مساءً. بلغت درجة الحرارة 84 درجة فهرنهايت عند الساعة 10 مساءً. اكتب معادلة وحلها لمعرفة درجة الحرارة “د” عند الساعة 6 مساءً.,د − 11 = 84؛ 95 درجة فهرنهايت
كان لدى تيريزا كيسًا يحتوي على 72 بلية. قسمت البلي إلى 9 مجموعات متساوية. ما هي الجملة العددية التي توضح كيفية إيجاد عدد البلي الذي وضعته تيريزا في كل مجموعة؟,72 ÷ 9 = 8
يستخدم روب صندوقًا واحدًا من طعام القطط كل 5 أيام لإطعام قططه. كم عدد الصناديق التي يستخدمها روب شهريًا تقريبًا؟,6 صناديق
ما هو المضاعف المشترك الأصغر للعددين 4 و10؟,20.0
أوجد حاصل 4 على 7 + 2 على 7.,6 على 7
كم عدد سنوات العقد؟,10.0
يتكون شهر يناير من 31 يومًا. أدّت ميشيل 45 تمرين ضغط يوميًا طوال أيام الشهر. وقد استخدمت التعبير الرياضي التالي لمعرفة عدد تمارين الضغط التي قامت بها في شهر يناير. 31 × 45 كم عدد تمارين الضغط التي أدّتها ميشيل في شهر يناير؟,"1,395 تمرين ضغط"
رقمان صحيحان المضاعف المشترك الأصغر لهما هو 60. كل رقم أقل من أو يساوي 12. العامل المشترك الأكبر للرقمين هو 2. ما هما الرقمان؟,10 و12
أوجد قيمة −2(س− 3) إذا كانت س = 2.,2.0
يوجد 230 سعرًا حراريًا في 4 أونصات من نوع معين من الآيس كريم. كم عدد السعرات الحرارية الموجودة في 6 أونصات من هذا الآيس كريم؟,345.0
قدّر نتيجة جمع 711 + 497. أي عددين مما يلي تقع بينهما النتيجة؟,"1,050 و1,300"
يمتلك السيد كولبيرج محلاً لبيع الزهور. في بداية اليوم كان عدد الورود الموجودة بالمحل 152 وردة. باع السيد كولبيرج 96 وردة ثم أراد تقسيم ما تبقى من الورود بالتساوي على 8 مزهريات. كم سيكون عدد الورود في كل مزهرية؟,7.0
قدِّر حاصل ضرب 32 × 68. أي عددين مما يلي يقع بينهما حاصل الضرب؟,"1,800 و2,800"
اكتب التحليل الأولي للعدد 77. استخدم الأسس إن أمكن.,7 • 11
في كشك بيع الصحف بالمدينة القديمة يبلغ ثمن المجلة الواحدة 2.99 دولار ويبلغ ثمن الكتاب الواحد 6.99 دولارات. ما هو إجمالي ثمن 4 مجلات و3 كتب؟,32.93 دولارًا
كوَّن يومي نمط الأعداد التالي بإضافة العدد نفسه في كل مرة للوصول إلى العدد التالي. 20، 40، 60، 80، .... ما هو العدد الثامن في هذا النمط؟,160.0
اكتب 7 على 33 في صورة عدد عشري.,0.21 متكرر
تشتري مدرسة ويستفيو زيًا رياضيًا جديدًا للعبة كرة السلة. تبلغ تكلفة الزي الواحد 46 دولارًا. ستشتري المدرسة 12 زيًا. ما هي المعادلة التي تعرض طريقة إيجاد التكلفة الإجمالية للزي؟,(40 × 12) + (6 × 12) = 480 + 72
اشترى مانويل سيارة مستعملة بمبلغ ستة آلاف وتسعة وأربعين دولارًا. كيف يمكن كتابة الثمن الذي اشترى به مانويل السيارة المستعملة بالأرقام؟,"6,049 دولارًا"
بالأمس، أكل ميكا عددًا زوجيًا من حبات الفراولة. كما أكل عددًا فرديًا من التفاح. ما هي المجموعة التي يمكن أن تمثل الفراولة (ف) والتفاح (ت) التي أكلها ميكا بالأمس؟,ف ف ف ف ف ف ف ف؛ ت
يبلغ ثمن طعام القطط 0.47 دولار/رطل. ما هو ثمن عبوة تسع 6 أرطال؟,2.82 دولار
اكتب 60 على 72 في أبسط صورة.,5 على 6
اكتب نسبة كوبين إلى 3 كورتات (ثلاثة أرباع جالون) في شكل كسر في أبسط صورة.,1 على 6
"تمتلك مكتبة ميلز 1,007,199 كتابًا. وتمتلك مكتبة سبرينجفيل 907,082 كتابًا. أي مما يلي يعد التقدير الأفضل لعدد الكتب التي تمتلكها مكتبة ميلز أكثر من مكتبة سبرينجفيل؟","100,000 كتاب"
يضرب بات كرة السلة 25 مرة في 30 ثانية. بهذا المعدل، كم مرة تقريبًا سوف يضرب بات الكرة في 150 ثانية؟,125.0
استخدم خط الأعداد لإيجاد حاصل جمع −9 + (−8).,−17
ما هي قيمة “ص” في المعادلة ص/4 = 8؟,32.0
اكتب 4 و4 على 5 في صورة كسر غير صحيح.,24 على 5
يبلغ وزن جسم ما على القمر، “ق”، حوالي “ع” من وزنه على الأرض، “أ”. ما هي المعادلة التي تمثل الوزن التقريبي للجسم على القمر بالنسبة لوزن الجسم على الأرض؟,ق = أ/6
8 + 8 ÷ 2 + 2 =,14.0
ما هي قيمة “ص” التي تجعل ص + 2.9 = 11 صحيحة؟,8.1
ما هو المكمل لزاوية 40 درجة؟,140 درجة
ركضت كيري المسافة نفسها في أربعة سباقات مختلفة. بلغت الأزمنة التي حققتها 18.04 ثانية و21.39 ثانية و12.99 ثانية و14.14 ثانية. إذا تم تقريب الأزمنة الفردية إلى أقرب عُشر من الثانية، فما هو تقدير إجمالي الزمن الذي ركضته كيري في جميع السباقات الأربعة؟,66.5 ثانية
أوجد حل 3 على 4 * س = 24,32.0
أوجد الإجابة الدقيقة: 110 + 70,180.0
حديقة حيوان بها 15 من طيور الطوقان و60 ببغاء. ما هي نسبة عدد طيور الطوقان إلى عدد الببغاوات في حديقة الحيوان؟,1:04
ما هو العامل المشترك الأكبر للعددين 36 و90؟,18.0
أوجد قيمة 6 • 24 ÷ (8 − 5).,48.0
ما هو العامل المشترك الأكبر للعددين 42 و84؟,42.0
تحتاج السيدة جوتيريز إلى طلب حبل لفصلها الرياضي المكون من 32 طالبًا. سيحصل كل طالب على قطعة من الحبل يبلغ طولها 5 أقدام و8 بوصات. ما هو إجمالي طول الحبل الذي تحتاج السيدة جوتيريز إلى طلبه لفصلها؟,181 قدمًا و4 بوصات
في ديسمبر، باع متجر ألعاب 934 قطعة من البازل. كان ثمن كل قطعة 6 دولارات شاملاً الضريبة. ما هو إجمالي ثمن البازل الذي باعه المتجر شاملاً الضريبة؟,"5,604 دولارات"
ما هو قياس الزاوية التي تعادل 1/360 من الدائرة، بالدرجات؟,1.0
أوجد العدد الذي يجعل هذه العبارة صحيحة: 26.1 مم = _ د م.,0.261
تُصنع تتبيلة السلطة من مزج مقدارين من الخل مع 5 مقادير من الزيت. كم أونصة من الزيت يجب مزجها مع 9 أونصات من الخل؟,22.5
قادت كيم دراجتها مسافة 135 ميلاً في 9 أسابيع، حيث قادت المسافة نفسها في كل أسبوع. وقاد إريك دراجته مسافة 102 ميلاً في 6 أسابيع، حيث قاد المسافة نفسها في كل أسبوع. ما هي العبارة التي تقدم مقارنة صحيحة لعدد الأميال التي قادها كل منهما في الأسبوع؟,قاد إريك ميلين أكثر من كيم في الأسبوع.
أوجد حلاً للمعادلة 5س − 5 = −10 من الأرقام المعطاة.,−1
تم بناء نموذج للحديقة على مقياس 1.5 سنتيمترًا إلى 50 مترًا. إذا كانت المسافة بين شجرتين في الحديقة هي 150 مترًا، فما هي هذه المسافة على النموذج؟,4.5 سنتيمترًا
لدى إليزابيث بعض الملصقات. تقسم ملصقاتها بالتساوي بينها وبين صديقتين. يحصل كل شخص على 4 ملصقات. ما هي المعادلة التي تمثل العدد الإجمالي للملصقات، “م”؟,م/3 =4
"سافرت ستيفاني جوًا من لوس أنجلوس إلى مدينة نيويورك مسافة 2,448 ميلاً. ما هو عدد الأميال التي قطعتها ستيفاني مقربًا لأقرب ألف؟","2,000"
أي زوج من النسب الآتية يمكن أن يشكل تناسبًا؟,2 على 5 و6 على 15
في إحدى الكليات، يستكمل تقريبًا 2 من كل 5 طلاب في السنة النهائية دراستهم في الدراسات العليا. إذا كان هناك 750 طالبًا في السنة النهائية في الكلية، كم عدد الطلاب الذين من المتوقع أن يستكملوا دراستهم في الدراسات العليا؟,300 طالب
فكر في نمط الأعداد 5، 9، 13، 17، 21، 25، 29. ما هي القاعدة التي يمكن استخدامها لإنشاء هذا النمط؟,البدء برقم 5 ثم إضافة 4 كل مرة للحصول على الرقم التالي.
كان ماكس وجوناثون يقطفان الفراولة. قطف ماكس 187 حبة فراولة، وقطف جوناثون 223 حبة فراولة. أكلا معًا 26 حبة فراولة. ما هو التعبير الرياضي الذي يوضح طريقة إيجاد إجمالي عدد حبات الفراولة التي تركها ماكس وجوناثون؟,190 + 220 – 30 + 4
في مدرسة ويست الابتدائية، يزيد عدد الفتيات عن عدد الأولاد بـ 20 فتاة. إذا كان عدد الفتيات 180 فتاة، فكيف يمكنك معرفة عدد الأولاد؟,طرح 20 من 180
تستغرق الماكينة 12 دقيقة لملء 200 زجاجة من الصودا. بهذا المعدل، كم دقيقة ستستغرقها الماكينة لملء 500 زجاجة من الصودا؟,30 دقيقة
استخدم أحد المطاعم 231 بيضة الأسبوع الماضي، كان 46 منها بنية اللون. وكان البيض المتبقي أبيض اللون. ما هي المعادلة التي يمكن استخدامها لمعرفة عدد البيض الأبيض، “ب”، الذي استُخدم في الأسبوع الماضي؟,46+ب= 231
يطلب مدير أحد المتاجر قمصانًا من مخزنه. يتم تعبئة القمصان في صناديق وإرسالها إلى المتجر، كما هو موضح أدناه. طلب المدير 81 قميصًا. يحمل كل صندوق شحن 9 قمصان. كم عدد صناديق الشحن اللازمة لجميع القمصان المطلوبة؟,9.0
"اطرح 2,396 – 1,709",687.0
قرأ جيري كتابًا مكونًا من 200 صفحة في 10 ساعات. بهذا المعدل، كم سيستغرق لقراءة كتاب مكون من 320 صفحة؟,16 ساعة
ما هو الرقم الذي إذا ضُرب في 4 كانت النتيجة 36؟,9.0
حوّل 34 لترًا و18 سنتيلترًا إلى لتر.,34.18 لترًا
يتسع خزان مياه لـ 50 جالونًا. ما هو معدل التدفق المطلوب، بالجالون في الثانية، لملء الخزان خلال 20 ثانية؟,2.5
تستطيع تارا صنع لفتين من الأفلام في 18 دقيقة تقريبًا. بهذا المعدل، كم ستستغرق لصنع 8 لفات من الأفلام؟,ساعة و12 دقيقة
كتبت تيشا اللغز التالي لصديقتها: لدي وجهان، وليس لدي رؤوس، وأستطيع أن أتدحرج. من أنا؟ ما هي إجابة هذا اللغز؟,الأسطوانة
أخبر أحد الأصدقاء جون أنه يمكنه ربح 49 دولارًا مقابل توزيع منشورات في حفل موسيقي محلي. يريد جون حساب الأجر بالساعة، إذا عمل لمدة 3.5 ساعة، فيمكن استخدام المعادلة 3.5س = 49 لتحديد الأجر بالساعة. كم سيكون أجر الساعة الذي يمكن أن يتقاضاه جون بالدولار؟,14.00 دولارًا
"كم ضعفًا تساوي قيمة الرقم 5 في 24,513 مقارنة بقيمة الرقم 5 في 357؟",10.0
ما هو التعبير الرياضي الذي يعادل 5(4س + 3) — 2س؟,18س+15
جمع السيد لوتشي 5 أكياس من الأقلام. في كل كيس وضع 19 قلمًا أسود و12 قلمًا أحمر. ما هو التعبير الرياضي الذي يوضح إجمالي عدد الأقلام التي وضعها السيد لوتشي في الأكياس؟,5 × (19 + 12)
تمتلك سونيا ونيجين معًا 27.00 دولارًا. اشترت سونيا قميصًا بسعر 12.35 دولارًا واشترت نيجين زوجًا من الصنادل بسعر 10.11 دولارًا. ما هو المبلغ المتبقي معهما؟,4.54 دولارات
يوصِّل مكتب بريد ثمانية عشر ألفًا وستة وتسعين رسالة بريد في الأسبوع. كيف يمكن كتابة عدد رسائل البريد بالصيغة الممتدة؟,"10,000 + 8,000 + 90 + 6"
أي مما يلي لا يعادل 3 و3 على 4 جالونات؟,13 كوارت
سجلت جيس 18 نقطة خلال مباراة كرة السلة الأخيرة التي لعبتها. كانت كل رمية أحرزتها تساوي نقطتين. كم عدد الرميات التي أحرزتها؟,9.0
قسّم تايشون 56 بلية إلى مجموعات متساوية من دون أن تتبقى بلية واحدة. ما العبارة التي يمكن أن تكون صحيحة فيما يتعلق بمجموعات البلي التي قسمها تايشون؟,هناك 8 مجموعات من البلي تحتوي كل مجموعة على 7 بليات.
"ما هي قيمة التعبير الرياضي 2,816 × 7؟","19,712"
تبلغ المسافة بين منزل مريم ومنزل ديبي 444.44 مترًا. ما هي العبارة الصحيحة المتعلقة بقيم الأرقام في المسافة بين منزلهما، بالأمتار؟,قيمة 4 في خانة العشرات أكبر بـ 10 مرات من قيمة 4 في خانة المئات.
اكتب معدل وحدة القيادة لمسافة 308 كيلومترات في 4 ساعات. قربه لأقرب مائة إذا لزم الأمر.,77 كم/ساعة
ما هو التقدير الأكثر منطقية لطول حمام السباحة في المدينة؟,25 مترًا
يتضمن جدول أحد العروض الموسيقية 3 مجموعات تبلغ مدة كل منها 20 دقيقة بالإضافة إلى مجموعة تبلغ مدتها 40 دقيقة. وهناك 10 دقائق للراحة بين كل مجموعة والمجموعة التي تليها. المدة الإجمالية للعرض الموسيقي هي 3(20+10) + 40 دقيقة. ما هي المدة الإجمالية للعرض الموسيقي؟,130 دقيقة
أوجد المضاعف المشترك الأصغر للعددين 24 و36.,72.0
في العام الماضي، أعدت تشيزا 32 وجبة من الحساء مقدارها كوب واحد لحفل مدرسي. في هذا العام ستضاعف تشيزا الكمية التي ستعدها من الحساء عما صنعت في العام الماضي. كم جالونًا من الحساء ستعدها تشيزا هذا العام؟,4.0
يريد إيميل أن يعرف فريق كرة القدم الأكثر شعبية في مباراة بين الفريق المضيف والفريق الزائر. من بين الطرق الآتية، ما هي الطريقة التي ستعطيه النتيجة الأكثر دقة؟,حصر مجموعة من الأشخاص الذين يصطفون في طابور للحصول على التذاكر
صنعت إحدى الشركات 5 سيارات زرقاء في مقابل كل 3 سيارات بيضاء تصنعها. إذا صنعت الشركة 15 سيارة بيضاء في أحد الأيام، كم سيارة زرقاء ستصنعها؟,25.0
طلب ستيف حافظات بلاستيكية لتخزين ما لديه من بطاقات البيسبول. يبلغ طول كل حافظة 12 سنتيمترًا، ويبلغ عرضها 6.5 سنتيمترًا، ويبلغ ارتفاعها 1.25 سنتيمترًا. ما هو حجم حافظة بطاقات بيسبول واحدة بالسنتيمتر المكعب؟ ,97.5
يبيع كريس باقة الورود بسعر 16.99 دولارًا. في نهاية اليوم جمع 339.80 دولارًا. كم عدد باقات الورود التي باعها؟,20.0
باع أحد محلات الآيس كريم 48 من ميلك شيك الفانيلا في يوم، وهو ما كان يقدر بـ 40% من إجمالي عدد الميلك شيك الذي باعه المحل في ذلك اليوم. ما هو إجمالي عدد الميلك شيك الذي باعه المحل في ذلك اليوم؟,120.0
أوجد قيمة (ج^2 − ب^2)^2 + أ^2 إذا كانت أ = 5 وب = 3 وج = 2.,50.0
إذا كانت س − 3 = 6، ما هي قيمة س؟,9.0
شارك كل من جو ومايك بالجري في السباق نفسه. أنهى جو السباق قبل مايك بـ 4 دقائق. إذا كان مايك قد أنهى السباق عند الساعة 4:02 مساءً. ففي أي وقت أنهى جو السباق؟,3:58 مساءً
يبلغ عرض أحد شرائح الورق المقوى 5 على 6 أقدام. ويبلغ عرض شريحة الورق المقوى الثانية 2 على 3 أقدام. قدِّر العرض المشترك للشريحتين.,1 و1 على 2 قدم.
يتكون أحد الأشكال من 12 مثلثًا قائم الزاوية، وجميع هذه المثلثات متساوية الحجم. يبلغ طول قاعدة كل مثلث قائم الزاوية 4 سنتيمترات، ويبلغ ارتفاعه 5 سنتيمترات. ما هي المساحة الإجمالية للشكل بالسنتيمتر المربع؟,120.0
يتضمن الطلب الأسبوعي من الحليب لفندق ترانكويلي إن 40 جالونًا من الحليب قليل الدسم و15 جالونًا من حليب الشوكولاتة. ما هي نسبة عدد جالونات الحليب قليل الدسم إلى جالونات حليب الشوكولاتة في طلب الحليب الأسبوعي لفندق ترانكويلي إن؟,8:03
يوجد 20 طالبًا في فصل الأستاذ كلارك للصف الرابع الابتدائي. ويبلغ إجمالي عدد الطلاب في الصف الرابع الابتدائي بأكمله 5 أضعاف عدد الطلاب في فصل الأستاذ كلارك. ما هي المعادلة اتتي يمكن استحدامها لتحديد عدد الطلاب، “ط”، في الصف الرابع بأكمله؟,20×5 = ط
ما هي قيمة 4س + 9، إذا كانت س = 4؟,25.0
أعد صياغة التعبير الرياضي 4(3 + 2) باستخدام خاصية التوزيع. لا تقم بالتبسيط.,4(3) + 4(2)
يبلغ ارتفاع مجموعة من سبع عملات معدنية سنتيمترًا واحدًا. يمتلك نيك مجموعة من العملات المعدنية يبلغ ارتفاعها 4 سنتيمترات. ما هي المعادلة التي يمكن استخدامها لإيجاد عدد العملات المعدنية، “ع”، في مجموعة نيك؟,ع =7×4
"أي مما يلي يعد التقدير الأفضل لحاصل ضرب 4,286 × 390؟","1,600,000"
يمكن إيجاد مساحة السطح، “س”، لمنشور مستقيم قائم يبلغ طوله، “ط”، وعرضه، “ع”، وارتفاعه، “ر” باستخدام المعادلة س = 2(ط ع + ع ر + ر ط). ما هي مساحة السطح لمنشور يبلغ طوله 12 بوصة وعرضه 9 بوصة وارتفاعه بوصتين، بالبوصة المربع؟,300.0
يريد أحد المراكز التجارية أن يجري استطلاعًا للأشخاص الذين يتسوقون داخل المركز. أي مما يلي سيقدم لهم أفضل عينة ممثلة؟,إجراء الاستطلاع عند مدخل المركز التجاري
صعدت مجموعة من المتنزهين من منطقة سولت فلاتس (على ارتفاع -55 قدمًا) إلى تالون بلاف (على ارتفاع 620 قدمًا). ما هو الفارق في الارتفاع بين تالون بلاف وسولت فلاتس؟,675 قدمًا
في بداية الدرس ذهب نصف طلاب الفصل إلى المكتبة. لاحقًا في أثناء الدرس ذهب نصف الطلاب المتبقين إلى معمل الكمبيوتر. إذا كان هناك 8 طلاب باقين في الفصل، كم عدد الطلاب الذين كانوا موجودين في بداية الدرس؟,32 طالبًا
يتبع نمط الأعداد قاعدة التخطي في العد 5، 20، 35، 50، 65 ... ما هو نمط الأعداد الذي يتبع القاعدة نفسها؟,12، 27، 42، 57، 72...
لدى المعلم ثلاث عبوات من الملصقات. تحتوي العبوة الأولى على 56 ملصقًا، وتحتوي العبوة الثانية على 48 ملصقًا، وتحتوي العبوة الثالثة على 58 ملصقًا. إذا قسَّم المعلم جميع الملصقات بالتساوي على 27 طالبًا، فما عدد الملصقات التي سيحصل عليها كل طالب؟,6 ملصقات
أي من مجموعات الأعداد الصحيحة الآتية مرتبة من الأصغر إلى الأكبر؟,−9، −6، −3، 7، 11
ما القيمة المساوية لـ7%؟,0.07
ما هي النسبة التي يمكن أن تشكل تناسبًا مع 6 على 9؟,8 على 12
جميع صور بيلا محفوظة في 8 ألبومات صور. كل ألبوم يحتوي على 25 صورة. ما هو التعبير الرياضي الذي يوضح كيف يمكن معرفة العدد الإجمالي لصور بيلا؟,25 × 8
ما هو حاصل ضرب 32 × 67؟,"2,144"
حل المعادلة 18.5 دولارًا على م جالون = 3.60 دولارات على 7.5 جالون. قرب الحل لأقرب مائة إذا لزم الأمر.,38.44
استخدم الأعداد المتوافقة لتقدير حاصل قسمة 117.83 ÷ 5.67.,حوالي 20
حصلت مارجريت على درجة تتراوح بين 75 و89 في جميع اختبارات الإملاء السابقة. وحصلت على درجة 100 في اختبارها التالي. أي من العبارات التالية صحيحة؟,سيزيد المتوسط
قدّر نتيجة جمع 153 + 44. أي عددين مما يلي تقع بينهما النتيجة؟,100 و299
ما هي المجموعة التي تجعل كل قيمها المتباينة 2س — 1 < 10 صحيحة؟,{2، 3، 4}
أعدّت إيرين 12 باينت من العصير. تشرب 3 أكواب من العصير كل يوم. كم يومًا تستغرق إيرين لتشرب كل العصير الذي  أعدته؟,8 أيام
لدى جون 4 قطع من الكوكيز، ولدى سارة قطعتين من الكوكيز أكثر من  جون، ولدى داريوس ثلاثة أضعاف ما لدى سارة. كم عدد قطع الكوكيز التي يمتلكها داريوس؟,18.0
